E1,E2,E3,E4,E5
-468,-102,-393,-230,-222
-460,-96,-389,-234,-230
-450,-91,-384,-233,-237
-442,-87,-381,-228,-243
-438,-84,-378,-219,-249
-438,-82,-377,-211,-256
-441,-80,-377,-206,-264
-443,-78,-377,-204,-275
-439,-77,-379,-206,-286
-430,-78,-382,-209,-297
-419,-80,-387,-213,-307
-412,-86,-394,-217,-316
-412,-93,-401,-222,-324
-419,-100,-408,-227,-333
-427,-105,-414,-232,-344
-433,-106,-420,-238,-355
-434,-107,-427,-244,-368
-433,-110,-435,-252,-380
-436,-115,-444,-261,-389
-446,-122,-451,-269,-394
-460,-127,-453,-273,-392
-471,-126,-449,-269,-386
-470,-118,-436,-256,-377
-452,-107,-419,-240,-369
-414,-97,-400,-225,-363
-357,-92,-383,-217,-359
-283,-91,-368,-214,-355
-192,-92,-355,-212,-346
-87,-90,-339,-205,-331
27,-85,-320,-190,-310
141,-77,-299,-170,-288
242,-71,-280,-153,-270
320,-68,-266,-143,-258
374,-68,-256,-141,-251
409,-69,-247,-143,-243
435,-67,-233,-141,-231
457,-64,-214,-133,-211
478,-60,-191,-119,-189
490,-58,-170,-104,-168
489,-57,-155,-92,-154
474,-56,-150,-87,-149
453,-51,-151,-87,-150
434,-42,-154,-90,-155
425,-32,-155,-93,-160
424,-26,-156,-97,-165
422,-27,-160,-104,-172
408,-36,-173,-118,-184
370,-50,-196,-139,-205
308,-65,-229,-166,-235
223,-77,-267,-196,-270
121,-85,-305,-225,-307
8,-90,-337,-249,-339
-107,-96,-363,-266,-364
-217,-103,-381,-274,-380
-310,-111,-392,-276,-388
-376,-120,-394,-272,-390
-411,-126,-389,-264,-388
-413,-129,-378,-256,-385
-388,-128,-362,-250,-381
-341,-126,-346,-246,-379
-279,-123,-333,-245,-377
-208,-122,-327,-244,-376
-137,-121,-325,-242,-374
-77,-120,-327,-239,-371
-36,-117,-329,-235,-365
-18,-113,-329,-232,-356
-18,-107,-326,-229,-346
-26,-102,-322,-227,-338
-31,-100,-318,-227,-331
-27,-100,-317,-228,-328
-15,-104,-317,-229,-327
1,-110,-318,-230,-327
15,-117,-318,-230,-328
25,-126,-316,-230,-329
32,-134,-314,-230,-332
40,-141,-311,-230,-337
49,-145,-308,-232,-342
57,-147,-307,-234,-346
63,-145,-306,-236,-348
66,-142,-306,-237,-346
64,-139,-306,-237,-342
61,-136,-305,-235,-337
58,-134,-304,-232,-333
56,-133,-303,-229,-330
56,-133,-302,-228,-329
57,-133,-303,-228,-330
59,-131,-305,-230,-331
62,-127,-308,-231,-333
64,-123,-310,-232,-335
65,-120,-312,-231,-337
66,-120,-314,-231,-338
66,-124,-315,-230,-337
70,-131,-317,-230,-333
77,-138,-320,-231,-327
88,-144,-322,-232,-322
99,-148,-322,-232,-318
106,-150,-320,-233,-317
106,-153,-316,-235,-317
100,-155,-313,-239,-319
91,-157,-310,-245,-322
83,-156,-310,-250,-325
79,-151,-310,-254,-326
80,-144,-309,-253,-325
83,-136,-306,-248,-322
87,-130,-302,-241,-315
92,-126,-298,-235,-307
97,-124,-295,-230,-299
103,-123,-294,-228,-293
107,-122,-293,-225,-290
105,-120,-291,-222,-290
96,-119,-288,-217,-291
85,-119,-284,-211,-290
78,-120,-280,-207,-286
81,-121,-277,-206,-280
94,-123,-274,-209,-273
111,-126,-272,-214,-268
123,-131,-270,-219,-268
124,-138,-268,-223,-273
115,-145,-269,-223,-281
104,-149,-272,-222,-291
96,-150,-276,-220,-299
97,-146,-281,-219,-303
102,-141,-283,-219,-303
107,-135,-281,-218,-299
108,-131,-274,-216,-293
106,-128,-267,-212,-288
103,-124,-261,-206,-285
104,-118,-258,-200,-283
108,-111,-259,-197,-280
111,-105,-261,-196,-277
110,-103,-262,-198,-271
104,-105,-262,-201,-263
97,-109,-260,-201,-255
94,-113,-258,-199,-247
99,-115,-257,-194,-239
110,-116,-257,-189,-233
123,-117,-255,-187,-229
133,-118,-252,-189,-227
138,-120,-247,-194,-229
137,-122,-244,-199,-233
131,-123,-244,-203,-236
123,-123,-247,-203,-238
115,-121,-252,-202,-239
109,-118,-257,-200,-239
105,-115,-259,-200,-240
104,-111,-257,-202,-243
104,-106,-252,-202,-247
105,-99,-245,-200,-249
106,-92,-237,-194,-247
107,-87,-228,-186,-240
109,-83,-220,-178,-230
112,-81,-214,-171,-220
114,-81,-210,-169,-215
114,-81,-209,-170,-214
111,-81,-210,-172,-217
108,-80,-210,-175,-219
107,-80,-209,-176,-219
110,-82,-205,-176,-215
117,-86,-198,-174,-209
125,-90,-189,-172,-204
128,-94,-182,-170,-202
124,-95,-176,-169,-202
111,-93,-173,-169,-204
95,-88,-172,-171,-205
80,-81,-174,-173,-205
71,-73,-176,-175,-204
70,-66,-178,-175,-205
76,-61,-180,-173,-208
85,-58,-182,-171,-213
97,-57,-184,-170,-218
107,-57,-186,-170,-220
114,-59,-188,-173,-219
114,-61,-189,-177,-215
106,-65,-189,-181,-211
93,-70,-188,-183,-209
78,-76,-186,-182,-211
67,-80,-184,-178,-216
64,-83,-181,-173,-220
69,-83,-176,-168,-220
79,-80,-169,-164,-215
88,-75,-160,-160,-205
92,-70,-151,-156,-194
92,-65,-144,-152,-187
88,-60,-139,-146,-183
84,-56,-137,-139,-183
82,-50,-136,-132,-183
83,-43,-135,-126,-181
85,-34,-131,-120,-175
86,-25,-127,-114,-168
84,-19,-123,-110,-161
79,-18,-120,-106,-155
74,-21,-119,-104,-150
72,-28,-119,-102,-146
74,-36,-120,-101,-140
80,-43,-121,-100,-134
87,-47,-122,-99,-128
91,-47,-122,-98,-126
88,-44,-124,-98,-127
80,-39,-125,-99,-131
71,-35,-126,-99,-138
68,-32,-127,-100,-144
72,-33,-127,-101,-148
81,-34,-128,-103,-149
90,-36,-130,-105,-148
92,-35,-131,-108,-146
86,-31,-131,-110,-144
76,-26,-131,-112,-143
67,-23,-130,-111,-143
65,-23,-129,-109,-143
70,-26,-127,-107,-143
77,-33,-125,-104,-141
82,-40,-122,-102,-139
82,-45,-120,-101,-136
80,-47,-118,-101,-134
78,-48,-116,-104,-132
79,-48,-115,-109,-131
84,-48,-113,-115,-130
90,-50,-111,-123,-130
93,-55,-109,-131,-132
91,-60,-109,-136,-134
86,-65,-111,-138,-135
78,-67,-115,-137,-134
70,-65,-119,-133,-129
62,-58,-121,-130,-122
56,-48,-119,-127,-117
52,-37,-115,-125,-115
51,-29,-109,-125,-117
51,-24,-103,-125,-123
51,-23,-99,-124,-128
51,-24,-97,-122,-129
48,-25,-94,-120,-126
43,-25,-90,-116,-119
38,-24,-86,-112,-110
35,-24,-80,-106,-103
36,-25,-76,-101,-98
37,-28,-73,-98,-95
36,-32,-71,-98,-94
30,-38,-70,-100,-93
16,-43,-70,-104,-92
0,-48,-70,-107,-91
-15,-51,-72,-108,-90
-21,-53,-75,-106,-88
-17,-52,-78,-102,-85
-5,-50,-80,-98,-81
8,-46,-81,-96,-78
15,-41,-80,-96,-77
12,-34,-78,-98,-79
3,-26,-76,-99,-83
-9,-17,-72,-98,-89
-16,-10,-68,-94,-94
-16,-7,-64,-88,-97
-13,-6,-59,-83,-96
-10,-7,-56,-80,-93
-13,-8,-54,-81,-88
-23,-9,-53,-85,-81
-37,-8,-52,-90,-75
-50,-8,-51,-94,-70
-57,-11,-48,-95,-66
-57,-17,-45,-94,-63
-51,-23,-41,-91,-61
-41,-26,-37,-88,-59
-34,-24,-34,-88,-57
-32,-19,-31,-89,-54
-38,-11,-29,-92,-52
-50,-4,-26,-94,-48
-65,0,-24,-95,-44
-77,4,-21,-93,-39
-84,7,-19,-88,-35
-85,12,-17,-83,-32
-85,17,-16,-77,-31
-87,21,-15,-72,-32
-96,23,-13,-67,-33
-111,24,-8,-61,-32
-131,26,1,-55,-28
-152,28,13,-48,-21
-169,32,26,-42,-12
-178,34,37,-37,-4
-179,32,43,-35,3
-172,28,44,-35,7
-164,24,42,-37,10
-161,24,41,-38,13
-166,29,43,-37,16
-182,38,49,-34,19
-204,47,57,-29,20
-225,51,63,-23,19
-239,52,65,-20,17
-244,51,66,-18,14
-243,53,66,-17,15
-241,59,67,-16,20
-245,69,72,-14,29
-256,77,79,-10,39
-271,79,86,-6,48
-286,75,94,-2,54
-296,69,99,0,56
-300,64,103,0,57
-300,63,103,-1,59
-302,65,101,-2,62
-309,67,96,-4,67
-322,64,92,-5,72
-337,58,90,-5,73
-349,51,90,-6,71
-352,45,92,-7,64
-350,44,93,-9,56
-349,47,90,-10,47
-354,51,85,-11,40
-370,57,78,-9,35
-390,62,73,-5,33
-406,66,71,-1,32
-410,70,71,4,33
-405,73,70,8,35
-397,73,67,11,39
-398,70,62,11,42
-411,65,56,9,44
-432,59,52,5,43
-451,53,49,0,41
-457,49,48,-6,38
-450,45,46,-10,37
-439,43,44,-12,39
-434,40,44,-10,43
-441,39,46,-5,48
-458,39,54,3,53
-476,41,65,12,57
-488,43,77,19,60
-490,45,84,24,63
-487,47,84,28,65
-485,49,79,31,67
-489,54,71,36,68
-500,60,67,42,67
-513,66,67,47,66
-526,70,73,51,66
-533,68,80,53,69
-534,63,85,52,74
-528,56,87,51,81
-516,51,86,48,87
-502,49,84,46,92
-492,49,83,45,96
-491,49,85,43,98
-500,46,90,42,100
-514,43,95,41,101
-528,40,99,41,100
-535,42,102,41,95
-534,49,105,43,89
-529,57,107,45,83
-524,62,110,46,79
-523,64,115,47,80
-528,62,120,45,85
-534,60,123,42,90
-540,62,124,40,93
-545,68,124,39,93
-549,75,123,40,90
-554,80,123,44,85
-558,81,125,49,80
-560,78,128,54,76
-561,74,130,56,72
-559,72,130,57,69
-558,70,126,56,66
-559,68,120,54,65
-562,64,113,52,66
-563,58,108,50,69
-559,53,106,48,73
-551,50,108,45,76
-540,52,111,42,80
-529,55,116,38,83
-522,58,119,33,86
-520,58,121,30,91
-522,58,122,27,95
-527,59,123,26,99
-532,64,125,26,100
-540,71,127,27,98
-549,79,130,27,94
-558,84,132,26,91
-564,84,133,26,89
-565,83,136,26,89
-559,81,141,28,89
-547,83,150,31,88
-536,88,164,37,84
-528,94,181,42,78
-526,99,200,47,70
-527,103,221,53,63
-528,109,245,60,59
-523,119,272,71,59
-513,134,301,84,63
-502,151,331,98,69
-495,167,358,112,79
-495,176,380,124,91
-503,179,397,135,106
-514,178,412,146,125
-522,178,428,159,149
-525,181,449,176,176
-525,188,476,196,209
-526,196,505,220,246
-531,199,534,244,289
-539,196,558,268,338
-546,186,574,290,391
-548,170,581,308,446
-546,153,580,323,501
-543,135,573,335,555
-544,116,562,344,608
-552,96,545,351,661
-566,71,524,354,713
-580,41,496,356,765
-588,9,461,354,815
-589,-22,421,352,864
-584,-49,376,352,912
-579,-71,330,354,961
-580,-88,286,359,1008
-589,-102,245,365,1052
-604,-115,209,369,1089
-620,-128,178,369,1112
-632,-139,152,365,1120
-637,-147,132,355,1111
-635,-151,117,343,1088
-626,-150,104,328,1052
-613,-146,90,308,1003
-596,-143,69,283,942
-576,-142,37,249,870
-557,-143,-7,209,790
-540,-146,-60,164,705
-528,-149,-117,119,622
-520,-154,-174,76,547
-516,-158,-226,38,479
-511,-163,-274,3,416
-503,-167,-317,-32,356
-492,-170,-357,-66,295
-479,-170,-392,-99,234
-469,-165,-418,-127,175
-462,-156,-432,-147,122
-459,-142,-433,-157,79
-454,-125,-421,-159,46
-447,-107,-400,-156,21
-437,-91,-374,-149,0
-426,-77,-347,-142,-18
-421,-66,-319,-134,-33
-425,-58,-290,-124,-44
-440,-50,-260,-112,-49
-459,-39,-229,-98,-47
-476,-27,-196,-83,-40
-484,-13,-161,-69,-31
-481,-1,-127,-56,-22
-470,8,-93,-43,-14
-461,15,-61,-30,-6
-459,20,-31,-18,2
-469,26,-3,-8,11
-487,34,22,-2,22
-507,43,45,1,35
-521,52,64,2,47
-524,63,82,5,57
-516,74,98,13,64
-502,85,112,24,68
-487,97,124,39,70
-480,108,134,52,72
-481,115,141,61,73
-489,119,148,65,75
-499,121,153,65,76
-505,121,157,63,75
-505,121,158,59,71
-499,120,156,55,63
-489,117,149,49,53
-479,112,141,43,43
-470,106,133,36,36
-460,101,128,30,32
-450,99,127,26,30
-442,101,129,23,29
-439,105,131,23,28
-444,108,132,22,25
-455,109,130,20,21
-463,110,127,19,18
-462,110,125,19,17
-447,113,126,21,19
-421,118,129,25,23
-391,123,131,29,27
-369,126,132,33,29
-357,126,130,36,27
-354,121,125,36,23
-353,114,120,34,17
-345,108,117,29,11
-331,102,116,24,6
-315,99,117,18,3
-305,98,119,15,1
-304,97,118,13,-1
-311,96,115,13,-3
-318,94,109,12,-7
-318,91,102,8,-11
-306,88,96,2,-14
-285,85,93,-5,-16
-264,86,95,-9,-16
-249,92,99,-8,-14
-245,103,106,-1,-9
-249,116,113,10,-3
-255,128,119,22,3
-255,136,123,30,10
-246,138,125,33,15
-229,134,124,32,18
-211,128,121,30,18
-198,121,117,27,16
-193,115,112,26,13
-197,109,106,24,9
-205,102,100,21,5
-213,95,92,16,0
-220,91,85,10,-5
-225,90,78,5,-9
-230,95,77,6,-11
-232,104,81,11,-11
-225,113,93,21,-7
-200,118,108,31,-1
-154,118,122,38,4
-85,117,133,42,8
1,119,142,44,12
97,126,150,47,18
198,138,164,56,30
299,153,184,70,49
399,165,209,86,73
492,171,233,102,99
574,173,250,113,123
638,172,260,120,143
682,172,266,128,158
707,173,272,138,171
721,176,282,151,185
730,179,294,165,200
736,181,306,174,214
737,182,314,175,226
732,181,315,167,233
720,178,311,156,234
704,173,305,146,230
691,168,299,141,221
682,163,293,139,208
673,161,283,135,192
657,161,267,125,171
624,163,243,105,145
568,163,211,77,114
491,159,174,46,78
396,149,135,18,40
287,137,99,-5,3
171,126,69,-20,-27
53,119,49,-28,-48
-54,115,40,-31,-58
-134,113,38,-30,-60
-172,109,41,-26,-57
-160,103,46,-20,-52
-105,97,51,-11,-47
-24,94,57,-1,-41
57,94,63,7,-34
119,97,71,12,-26
151,99,79,13,-18
158,98,86,11,-11
153,94,89,8,-7
151,90,88,6,-6
158,88,84,7,-7
174,90,79,9,-10
190,95,73,11,-14
198,99,69,12,-17
195,101,68,10,-18
183,99,71,7,-16
170,97,76,3,-12
165,95,83,0,-8
170,96,89,-2,-5
182,96,93,-2,-5
193,95,95,-1,-8
195,91,94,0,-11
187,83,93,0,-12
172,75,92,0,-9
160,70,92,0,-5
157,68,92,-1,-1
163,72,91,-2,2
172,77,91,-2,4
174,83,92,-2,5
165,87,93,0,6
144,89,95,3,8
119,90,98,7,9
100,91,99,11,8
91,94,99,15,5
94,97,99,17,2
103,98,99,17,1
113,97,100,16,4
121,94,102,15,13
126,89,104,15,23
128,84,108,16,33
129,79,112,17,39
126,75,115,18,42
118,72,118,17,41
105,70,118,15,40
90,68,116,13,40
80,67,112,13,41
77,66,108,13,42
82,65,105,14,45
90,64,104,15,49
95,64,105,13,53
91,64,106,10,57
79,66,106,7,61
65,68,105,5,65
56,70,103,4,68
56,71,101,6,70
63,70,100,8,71
74,68,100,10,70
84,65,100,12,68
91,62,99,13,65
96,58,98,13,63
100,53,96,12,64
103,47,95,10,68
103,40,93,7,74
98,34,91,4,80
90,29,86,1,83
81,24,80,-1,82
75,20,73,-2,78
73,16,68,-3,74
74,13,66,-5,73
76,12,65,-8,77
78,15,66,-11,83
82,20,67,-13,90
90,25,67,-12,95
100,28,67,-10,97
109,29,67,-6,99
112,29,68,0,102
109,30,70,6,106
100,33,72,13,111
93,37,75,20,116
90,40,78,25,121
91,39,82,28,126
92,34,86,29,132
90,28,90,28,139
82,23,93,27,146
72,21,94,28,151
63,23,95,30,155
60,27,95,35,158
61,29,94,40,162
64,30,93,44,167
68,28,91,47,174
70,26,87,48,181
72,25,81,48,186
73,26,76,49,189
72,28,74,49,189
67,29,74,50,188
61,27,77,50,186
57,24,78,48,186
58,21,78,45,188
64,21,76,42,191
73,23,71,39,195
81,27,67,37,199
84,28,63,36,202
85,23,60,35,202
87,12,57,34,199
93,0,53,34,197
101,-12,50,34,196
108,-18,47,36,199
109,-19,46,38,204
105,-16,47,40,211
101,-10,48,42,217
103,-5,49,44,221
109,0,51,46,223
115,4,53,49,226
114,7,55,52,231
102,10,58,54,239
84,11,60,56,248
69,10,60,58,255
63,7,58,60,260
70,4,56,63,261
84,3,55,65,260
98,2,57,66,258
105,2,62,65,258
105,1,68,60,258
101,0,74,54,258
97,-1,76,49,258
94,-1,76,47,258
90,1,75,49,260
85,4,74,55,263
78,8,76,63,268
72,10,79,71,273
69,13,84,78,279
68,15,88,84,284
65,19,90,87,287
58,24,91,89,288
48,30,90,89,288
37,36,88,88,286
31,42,88,89,284
32,44,89,91,284
38,44,92,94,285
45,39,95,97,288
49,33,98,100,293
47,26,99,100,296
38,20,97,98,296
25,17,93,94,292
10,17,89,89,286
-3,19,87,85,280
-10,22,88,82,277
-9,24,92,81,276
0,25,97,81,277
12,25,101,82,277
23,25,102,83,275
25,26,100,83,270
17,27,98,84,265
3,29,98,83,261
-12,31,99,83,260
-21,33,102,82,261
-21,34,106,80,260
-15,35,108,75,254
-9,36,108,67,243
-7,36,106,58,228
-11,34,104,47,212
-23,30,101,38,200
-37,25,98,31,193
-51,21,96,26,189
-62,20,94,22,187
-67,22,93,19,183
-68,24,94,17,178
-66,25,94,15,171
-62,25,93,14,164
-58,25,90,15,159
-56,27,85,17,156
-57,33,80,19,153
-61,42,78,22,150
-66,50,81,24,145
-73,56,87,27,138
-81,57,94,31,129
-88,56,98,35,121
-95,55,99,39,114
-100,54,97,41,109
-102,53,93,41,106
-104,52,91,38,105
-108,50,93,34,105
-117,46,97,31,104
-132,44,102,28,103
-152,44,106,27,102
-172,46,107,28,101
-187,49,107,30,101
-190,53,106,32,101
-184,56,108,34,100
-173,61,111,35,98
-164,67,118,38,95
-161,76,124,41,93
-166,86,131,44,92
-177,92,135,48,93
-185,95,136,49,92
-188,93,136,49,89
-184,90,133,47,82
-179,88,129,45,74
-179,88,126,44,66
-189,88,124,44,60
-209,88,122,45,57
-231,83,121,45,58
-247,76,121,44,59
-249,69,121,41,60
-237,65,122,36,60
-216,67,124,33,59
-199,73,127,31,58
-194,81,129,33,57
-207,87,130,37,58
-231,91,130,39,58
-255,94,130,40,58
-267,99,131,38,58
-262,106,132,36,57
-243,114,134,35,55
-221,120,136,37,52
-210,122,137,39,48
-216,120,136,41,43
-237,115,132,40,37
-264,111,127,34,32
-286,108,122,25,29
-297,107,119,17,29
-298,106,116,12,30
-294,105,114,11,31
-292,103,112,13,32
-295,99,110,16,32
-299,96,108,17,31
-305,92,106,14,30
-309,89,103,9,28
-315,87,101,2,26
-324,87,97,-5,22
-336,87,93,-11,16
-345,88,86,-16,8
-346,89,79,-20,-1
-339,89,71,-22,-9
-330,89,65,-22,-16
-325,90,62,-20,-20
-333,92,61,-18,-22
-354,96,61,-18,-24
-378,98,60,-19,-25
-396,97,57,-22,-27
-401,92,55,-25,-29
-394,85,54,-25,-30
-382,77,55,-23,-31
-374,71,57,-20,-31
-375,67,57,-18,-33
-383,66,53,-19,-37
-394,65,46,-23,-42
-401,63,37,-26,-47
-403,60,30,-27,-52
-401,58,28,-25,-55
-400,58,30,-22,-56
-402,62,34,-20,-55
-406,66,37,-19,-54
-409,70,36,-19,-51
-409,73,34,-20,-47
-404,75,32,-18,-43
-398,77,33,-14,-39
-394,80,38,-10,-35
-393,83,43,-6,-34
-396,84,46,-6,-35
-399,83,45,-7,-37
-401,79,41,-9,-39
-399,73,37,-11,-41
-397,66,35,-11,-43
-396,62,36,-13,-45
-398,59,38,-15,-49
-403,58,40,-20,-53
-411,56,39,-27,-57
-417,53,35,-32,-61
-420,50,31,-36,-64
-419,49,27,-38,-66
-415,50,25,-38,-70
-408,54,23,-39,-76
-399,58,21,-43,-83
-389,62,19,-50,-90
-379,63,16,-58,-95
-372,62,14,-65,-95
-369,59,15,-67,-90
-371,56,19,-65,-83
-377,53,25,-59,-74
-385,50,30,-51,-65
-391,46,34,-45,-58
-394,41,35,-40,-54
-391,38,34,-37,-52
-382,37,32,-35,-52
-370,40,30,-34,-53
-358,44,30,-33,-55
-349,47,31,-33,-58
-348,50,33,-35,-62
-357,50,34,-39,-67
-373,50,35,-43,-72
-389,49,34,-49,-77
-397,48,31,-55,-84
-393,47,27,-60,-90
-376,45,22,-65,-95
-354,44,17,-67,-96
-335,45,14,-66,-93
-324,47,14,-62,-86
-322,50,17,-57,-79
-325,50,22,-54,-73
-325,48,27,-53,-71
-322,42,29,-56,-71
-316,36,28,-61,-73
-314,32,24,-65,-74
-319,31,18,-67,-74
-328,31,11,-67,-74
-336,31,6,-67,-75
-339,27,2,-66,-77
-336,21,0,-66,-80
-330,14,0,-67,-82
-326,12,1,-68,-82
-328,16,3,-68,-80
-331,25,5,-68,-78
-331,34,8,-68,-76
-323,42,11,-68,-75
-308,47,14,-67,-75
-292,48,17,-67,-75
-284,47,20,-66,-75
-285,43,20,-65,-75
-291,37,19,-66,-77
-292,27,17,-67,-82
-280,16,13,-70,-87
-255,5,8,-75,-93
-226,-3,3,-80,-98
-204,-5,-1,-86,-101
-197,-4,-4,-91,-103
-203,0,-6,-94,-105
-212,3,-7,-96,-106
-215,5,-7,-95,-107
-209,7,-6,-93,-106
-199,9,-5,-91,-104
-193,14,-3,-88,-100
-196,20,-2,-84,-96
-205,26,0,-77,-92
-210,32,3,-67,-88
-203,38,8,-56,-85
-184,43,15,-47,-82
-159,46,22,-42,-79
-141,46,27,-44,-76
-137,44,30,-49,-73
-146,40,29,-55,-72
-159,33,27,-59,-72
-164,27,23,-59,-75
-158,23,19,-56,-78
-144,20,15,-55,-81
-130,19,14,-56,-83
-124,18,14,-60,-83
-127,17,16,-66,-83
-133,17,19,-73,-85
-138,16,20,-78,-90
-138,16,19,-82,-95
-134,18,13,-85,-100
-131,20,6,-86,-101
-132,23,1,-85,-98
-139,25,1,-81,-91
-145,28,7,-74,-84
-148,31,17,-67,-79
-144,34,25,-61,-78
-134,36,28,-59,-82
-125,38,23,-60,-88
-121,38,12,-64,-94
-126,36,1,-68,-98
-140,30,-9,-70,-99
-160,23,-14,-72,-99
-182,16,-17,-74,-99
-202,10,-19,-76,-100
-218,7,-22,-79,-102
-228,6,-26,-83,-106
-231,6,-31,-86,-109
-230,7,-34,-87,-113
-229,9,-36,-87,-116
-232,14,-36,-87,-120
-241,21,-35,-87,-123
-254,28,-35,-89,-125
-268,34,-36,-92,-127
-278,34,-39,-95,-129
-279,30,-43,-97,-131
-274,22,-48,-98,-135
-266,13,-54,-97,-139
-260,6,-58,-97,-142
-257,2,-61,-98,-144
-257,0,-61,-99,-142
-257,0,-58,-100,-138
-255,0,-54,-98,-133
-253,0,-50,-93,-129
-253,0,-48,-86,-125
-257,0,-47,-79,-123
-264,1,-47,-73,-122
-271,3,-48,-71,-119
-273,7,-49,-72,-116
-266,11,-50,-76,-112
-253,16,-52,-81,-109
-237,19,-56,-86,-108
-224,20,-60,-91,-109
-217,20,-63,-94,-112
-217,19,-64,-95,-116
-221,19,-63,-93,-121
-223,20,-59,-92,-125
-219,21,-56,-91,-127
-208,21,-54,-91,-126
-192,19,-53,-94,-121
-174,15,-54,-95,-113
-158,10,-54,-95,-102
-148,7,-52,-93,-93
-144,6,-49,-89,-87
-143,6,-46,-85,-86
-142,7,-43,-82,-89
-139,6,-41,-82,-91
-134,5,-39,-83,-90
-131,4,-39,-82,-87
-132,4,-39,-80,-82
-138,8,-41,-76,-78
-147,14,-43,-72,-76
-153,20,-45,-70,-77
-150,24,-46,-70,-78
-138,23,-44,-73,-78
-119,18,-42,-77,-76
-100,11,-40,-81,-74
-87,4,-40,-83,-72
-82,-1,-42,-84,-71
-84,-4,-45,-85,-71
-85,-6,-48,-87,-72
-81,-10,-50,-90,-72
-71,-15,-50,-94,-72
-58,-20,-49,-97,-71
-47,-23,-48,-99,-69
-40,-23,-48,-100,-68
-35,-22,-47,-101,-67
-30,-19,-46,-101,-67
-22,-17,-44,-100,-68
-10,-15,-41,-98,-70
1,-13,-36,-95,-71
8,-10,-32,-90,-71
12,-5,-30,-86,-70
13,-2,-32,-86,-70
17,-1,-36,-91,-71
23,-4,-44,-102,-77
29,-9,-54,-118,-86
31,-16,-65,-136,-99
25,-24,-76,-153,-113
11,-32,-88,-167,-126
-5,-38,-99,-175,-137
-19,-44,-105,-178,-142
-24,-47,-106,-176,-141
-16,-49,-100,-169,-134
6,-48,-86,-161,-123
41,-45,-70,-152,-110
